Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Dark Knight,"$1,003,045,358","$533,345,358",53.2%,"$469,700,000",46.8%
2,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942","$317,101,119",40.1%,"$473,552,823",59.9%
3,Kung Fu Panda,"$631,744,560","$215,434,591",34.1%,"$416,309,969",65.9%
4,Hancock,"$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%
5,Mamma Mia!,"$609,841,637","$144,130,063",23.6%,"$465,711,574",76.4%
6,Madagascar: Escape 2 Africa,"$603,900,354","$180,010,950",29.8%,"$423,889,404",70.2%
7,Quantum of Solace,"$589,580,482","$168,368,427",28.6%,"$421,212,055",71.4%
8,Iron Man,"$585,366,247","$318,604,126",54.4%,"$266,762,121",45.6%
9,WALL·E,"$521,311,860","$223,808,164",42.9%,"$297,503,696",57.1%
10,The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.7%,"$278,044,078",66.3%
11,Sex and the City,"$418,765,321","$152,647,258",36.5%,"$266,118,063",63.5%
12,Twilight,"$407,187,715","$192,769,854",47.3%,"$214,417,861",52.7%
13,The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6%
14,Slumdog Millionaire,"$378,410,113","$141,319,928",37.3%,"$237,090,185",62.7%
15,Wanted,"$342,463,063","$134,508,551",39.3%,"$207,954,512",60.7%
16,The Curious Case of Benjamin Button,"$335,802,786","$127,509,326",38%,"$208,293,460",62%
