url,product_id,title,price,scraped,rating,timestamp
https://www.amazon.in/Steam-Wallet-Digital-Delivery-within/dp/B0874YH2BD/ref=zg_bs_videogames_27/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B0874YH2BD,INR 2500 Steam Wallet Code (Digital Code- Email Delivery within 2 hours),"₹2,500.00",1,193 ratings,2021-09-25 19:07:12.506924
https://www.amazon.in/FIFA-21-Standard-Edition-PS4/dp/B08BJ6LMMN/ref=zg_bs_videogames_19/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B08BJ6LMMN,FIFA 21 Standard Edition (Free PS5 Upgrade),"₹1,799.00",1,"1,089 ratings",2021-09-25 19:07:19.007699
https://www.amazon.in/AmazonBasics-PlayStation-Controller-Charging-PBH-90023-1/dp/B072PW59VK/ref=zg_bs_videogames_31/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B072PW59VK,AmazonBasics PlayStation 4 Controller Charging Cable,,1,"3,811 ratings",2021-09-25 19:07:23.365731
https://www.amazon.in/Steam-Wallet-Digital-Delivery-within/dp/B0874Y3VY5/ref=zg_bs_videogames_5/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B0874Y3VY5,INR 1000 Steam Wallet Code (Digital Code- Email Delivery within 2 hours),"₹1,000.00",1,653 ratings,2021-09-25 19:07:28.146660
https://www.amazon.in/Fortnite-1000-V-Bucks-Gift-Card/dp/B098CBQ3GD/ref=zg_bs_videogames_45/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B098CBQ3GD,Fortnite 1000 V-Bucks Gift Card Code Only (NO CD/DVD),"₹1,499.00",1,28 ratings,2021-09-25 19:07:32.021834
https://www.amazon.in/Red-Dead-Redemption-2-PS4/dp/B07BFGGNT9/ref=zg_bs_videogames_17/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07BFGGNT9,Red Dead Redemption - 2 (PS4),,1,"2,365 ratings",2021-09-25 19:07:37.319592
https://www.amazon.in/Redgear-MP44-Speed-Type-Gaming-Mousepad/dp/B07J68QGR6/ref=zg_bs_videogames_10/261-4460124-2798536?_encoding=UTF8&psc=1&refRID=K4VG4XW94BFZK8FYFZF8,B07J68QGR6,Redgear MP44 Speed-Type Gaming Mousepad (Black and Red),₹399.00,1,"18,958 ratings",2021-09-25 19:07:42.246763
https://www.amazon.in/Airdopes-121v2-Bluetooth-Immersive-Assistant/dp/B08JQN8DGZ/ref=zg_bs_electronics_8?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08JQN8DGZ,boAt Airdopes 121v2 Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black),"₹1,299.00",1,"47,355 ratings",2021-09-25 19:07:47.808787
https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=zg_bs_electronics_16?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV&smid=A14CZOWI0VEHLG,B01DEWVZ2C,JBL C100SI by Harman Wired In Ear Headphones with Mic (Black),,1,"147,325 ratings",2021-09-25 19:07:53.098701
https://www.amazon.in/Boat-BassHeads-900-Wired-Headphone/dp/B074ZF7PVZ/ref=zg_bs_electronics_42?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B074ZF7PVZ,boAt Bassheads 900 Wired On Ear Headphones with Mic (Carbon Black),₹749.00,1,"58,818 ratings",2021-09-25 19:07:59.027087
