Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
134,Star Wars: Episode II - Attack of the Clones,645256452,302191252,343065200,2002.csv,2002,0.4683273620331037,0.5316726379668963
135,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,0.32004890822672566,0.6799510917732744
136,Moana,643331111,248757044,394574067,2016.csv,2016,0.38667031602642327,0.6133296839735767
137,Sing,634151679,270395425,363756254,2016.csv,2016,0.42638919670825315,0.5736108032917469
138,Kung Fu Panda,631744560,215434591,416309969,2008.csv,2008,0.3410153480387706,0.6589846519612294
139,The Incredibles,631442092,261441092,370001000,2004.csv,2004,0.4140381126192012,0.5859618873807988
140,The Martian,630161890,228433663,401728227,2015.csv,2015,0.36249996488997455,0.6375000351100255
141,Hancock,629443428,227946274,401497154,2008.csv,2008,0.3621394137425167,0.6378605862574833
142,Fast Five,626137675,209837675,416300000,2011.csv,2011,0.33513024911014977,0.6648697508898502
143,Men in Black 3,624026776,179020854,445005922,2012.csv,2012,0.2868800841328001,0.7131199158671999
144,Iron Man 2,623933331,312433331,311500000,2010.csv,2010,0.5007479412892594,0.4992520587107407
145,Ratatouille,623726085,206445654,417280431,2007.csv,2007,0.3309876866862158,0.6690123133137842
146,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018,0.3479327732285988,0.6520672267714012
147,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014,0.2847823640393944,0.7152176359606056
148,Logan,619021436,226277068,392744368,2017.csv,2017,0.36553995522701094,0.6344600447729891
149,The Passion of the Christ,611486736,370274604,241212132,2004.csv,2004,0.6055317019991747,0.39446829800082533
150,Mamma Mia!,609841637,144130063,465711574,2008.csv,2008,0.23634014841790804,0.7636598515820919
151,Life of Pi,609016565,124987023,484029542,2012.csv,2012,0.20522762463776334,0.7947723753622367
152,Casino Royale,605999592,167445960,438553632,2006.csv,2006,0.27631365137948805,0.723686348620512
153,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017,0.21500375644284633,0.7849962435571537
154,Madagascar: Escape 2 Africa,603900354,180010950,423889404,2008.csv,2008,0.298080550553875,0.701919449446125
155,War of the Worlds,603873119,234280354,369592765,2005.csv,2005,0.38796287933459084,0.6120371206654092
156,Tangled,592461732,200821936,391639796,2010.csv,2010,0.33896186901738995,0.66103813098261
157,Quantum of Solace,589580482,168368427,421212055,2008.csv,2008,0.2855732714028345,0.7144267285971655
158,The Croods,587204668,187168425,400036243,2013.csv,2013,0.3187447838885368,0.6812552161114632
159,The Hangover Part II,586764305,254464305,332300000,2011.csv,2011,0.43367379854505633,0.5663262014549436
160,I Am Legend,585410052,256393010,329017042,2007.csv,2007,0.4379716561477834,0.5620283438522166
161,Iron Man,585366247,318604126,266762121,2008.csv,2008,0.5442816828487209,0.45571831715127914
162,Ready Player One,582890172,137690172,445200000,2018.csv,2018,0.23621975221774713,0.7637802477822528
163,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018,0.0026643637736368433,0.9973356362263631
164,Night at the Museum,574480841,250863268,323617573,2006.csv,2006,0.43667821465259277,0.5633217853474073
165,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015,0.2916998193212763,0.7083001806787237
166,Kong: Skull Island,566652812,168052812,398600000,2017.csv,2017,0.29657103686975084,0.7034289631302492
167,The Smurfs,563749323,142614158,421135165,2011.csv,2011,0.2529744199799243,0.7470255800200757
168,King Kong,562363449,218080025,344283424,2005.csv,2005,0.38779196156469975,0.6122080384353003
169,Cars 2,559852396,191452396,368400000,2011.csv,2011,0.3419694143811434,0.6580305856188566
170,Puss in Boots,554987477,149260504,405726973,2011.csv,2011,0.26894391348581725,0.7310560865141827
171,Mei ren yu,553810228,3232685,550577543,2016.csv,2016,0.005837170995693492,0.9941628290043065
172,The Day After Tomorrow,552639571,186740799,365898772,2004.csv,2004,0.3379070352528194,0.6620929647471806
173,Ted,549368315,218815487,330552828,2012.csv,2012,0.398303799155217,0.6016962008447829
174,American Sniper,547426372,350126372,197300000,2014.csv,2014,0.639586234621521,0.3604137653784791
