Rank,Release Group,Worldwide,Domestic,%,Foreign,%
124,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
125,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
126,Seobok,"$6,778,823",-,-,"$6,778,823",100%
127,Silver Skates,"$6,734,418",-,-,"$6,734,418",100%
128,Dream Horse,"$6,605,430","$2,913,328",44.1%,"$3,692,102",55.9%
129,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
130,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
131,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
132,Penguin Bloom,"$6,154,872",-,-,"$6,154,872",100%
133,The Forgotten Battle,"$5,868,061",-,-,"$5,868,061",100%
134,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
135,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
136,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
137,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
138,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
139,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
140,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
141,Roadrunner: A Film About Anthony Bourdain,"$5,249,970","$5,249,970",100%,-,-
142,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
143,Poly,"$5,236,154",-,-,"$5,236,154",100%
144,Me contro te - Il mistero della scuola incantata,"$5,221,262",-,-,"$5,221,262",100%
145,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
146,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
147,Ainbo,"$4,946,086",-,-,"$4,946,086",100%
148,Red,"$4,920,261",-,-,"$4,920,261",100%
149,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
150,Kaguya-sama: Love Is War,"$4,856,089",-,-,"$4,856,089",100%
151,Palma,"$4,780,467",-,-,"$4,780,467",100%
152,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
153,Luizenmoeder - De film,"$4,668,458",-,-,"$4,668,458",100%
154,Wrong Turn,"$4,510,184","$1,251,184",27.7%,"$3,259,000",72.3%
155,Separation,"$4,509,143","$4,509,143",100%,-,-
156,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
157,Prababushka lyogkogo povedeniya,"$4,424,649",-,-,"$4,424,649",100%
158,The Ice Road,"$4,394,777",-,-,"$4,394,777",100%
159,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
160,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
161,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
162,Voyagers,"$4,298,184","$3,149,935",73.3%,"$1,148,249",26.7%
163,Ostwind - Der große Orkan,"$4,217,300",-,-,"$4,217,300",100%
164,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
165,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
166,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$4,111,708",-,-,"$4,111,708",100%
167,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
168,Family Swap,"$4,062,373",-,-,"$4,062,373",100%
169,Operación Camarón,"$3,891,228",-,-,"$3,891,228",100%
170,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
171,Karnan,"$3,817,585",-,-,"$3,817,585",100%
172,Operation Portugal,"$3,795,575","$1,096",<0.1%,"$3,794,479",100%
173,The Blood of Wolves,"$3,758,027",-,-,"$3,758,027",100%
174,"Prvok, Sampon, Tecka a Karel","$3,695,882",-,-,"$3,695,882",100%
175,12 Mighty Orphans,"$3,658,423","$3,658,423",100%,-,-
176,Lie Detector,"$3,600,000",-,-,"$3,600,000",100%
177,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
178,Presidents,"$3,569,522",-,-,"$3,569,522",100%
179,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
180,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
181,Catweazle,"$3,485,442",-,-,"$3,485,442",100%
182,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
183,Finding You,"$3,326,885","$2,753,985",82.8%,"$572,900",17.2%
184,Fate Grand Order: The Grand Temple of Time,"$3,308,000",-,-,"$3,308,000",100%
185,Pig,"$3,249,443","$3,180,011",97.9%,"$69,432",2.1%
186,Go Brother! 2,"$3,240,000",-,-,"$3,240,000",100%
187,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
188,I'll Meet You There,"$3,208,586",-,-,"$3,208,586",100%
189,Mesh Ana,"$3,204,032",-,-,"$3,204,032",100%
190,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
191,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
192,Land,"$3,162,681","$2,577,830",81.5%,"$584,851",18.5%
193,French Tech,"$3,158,212",-,-,"$3,158,212",100%
194,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
195,The Waiter,"$3,098,685",-,-,"$3,098,685",100%
196,Supernova,"$2,934,945","$234,220",8%,"$2,700,725",92%
197,Annette,"$2,904,916",-,-,"$2,904,916",100%
198,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
199,An Egg Rescue,"$2,852,443","$684,508",24%,"$2,167,935",76%
200,Here Today,"$2,807,494","$2,807,494",100%,-,-
